id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_posyandu_aktif,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2529,UNIT,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,78,UNIT,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4234,UNIT,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2562,UNIT,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2301,UNIT,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1397,UNIT,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1191,UNIT,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1529,UNIT,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,663,UNIT,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,54,UNIT,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,606,UNIT,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1253,UNIT,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,637,UNIT,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1187,UNIT,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,865,UNIT,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1307,UNIT,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,287,UNIT,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,897,UNIT,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,372,UNIT,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,1462,UNIT,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,0,UNIT,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,1359,UNIT,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,966,UNIT,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,357,UNIT,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,571,UNIT,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,199,UNIT,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4976,UNIT,2020
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3510,UNIT,2020
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2919,UNIT,2020
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4308,UNIT,2020
32,32,JAWA BARAT,3205,KABUPATEN GARUT,4194,UNIT,2020
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2309,UNIT,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1604,UNIT,2020
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1429,UNIT,2020
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2660,UNIT,2020
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1418,UNIT,2020
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1649,UNIT,2020
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2340,UNIT,2020
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1908,UNIT,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1024,UNIT,2020
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2358,UNIT,2020
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2819,UNIT,2020
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2315,UNIT,2020
