id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,persentase_kunjungan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1 KALI (KN 1),100.5,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3 KALI (KN LENGKAP),98.6,PERSEN,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1 KALI (KN 1),106.2,PERSEN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3 KALI (KN LENGKAP),102.9,PERSEN,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1 KALI (KN 1),104.9,PERSEN,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3 KALI (KN LENGKAP),102.4,PERSEN,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1 KALI (KN 1),93.9,PERSEN,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3 KALI (KN LENGKAP),93.9,PERSEN,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,1 KALI (KN 1),101.7,PERSEN,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,3 KALI (KN LENGKAP),0.0,PERSEN,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1 KALI (KN 1),106.5,PERSEN,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3 KALI (KN LENGKAP),104.0,PERSEN,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1 KALI (KN 1),104.5,PERSEN,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3 KALI (KN LENGKAP),103.4,PERSEN,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1 KALI (KN 1),111.1,PERSEN,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3 KALI (KN LENGKAP),106.9,PERSEN,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,1 KALI (KN 1),133.6,PERSEN,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,3 KALI (KN LENGKAP),133.0,PERSEN,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1 KALI (KN 1),108.8,PERSEN,2019
