id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_imunisasi,persentase_imunisasi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td1,57.7,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td2,50.1,PERSEN,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td3,21.5,PERSEN,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td4,11.6,PERSEN,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td5,7.7,PERSEN,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,Td2+,90.8,PERSEN,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td1,45.5,PERSEN,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td2,41.7,PERSEN,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td3,20.7,PERSEN,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td4,11.2,PERSEN,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td5,10.8,PERSEN,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,Td2+,84.5,PERSEN,2019
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td1,67.9,PERSEN,2019
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td2,61.3,PERSEN,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td3,16.5,PERSEN,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td4,8.5,PERSEN,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td5,9.5,PERSEN,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,Td2+,95.8,PERSEN,2019
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td1,27.3,PERSEN,2019
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td2,28.2,PERSEN,2019
21,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td3,25.6,PERSEN,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td4,21.5,PERSEN,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td5,16.6,PERSEN,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,Td2+,91.9,PERSEN,2019
25,32,JAWA BARAT,3205,KABUPATEN GARUT,Td1,67.2,PERSEN,2019
